"id","houseno","houseno_specification","geo_long","geo_lat","address_specification_verbatim","street_id"
"3922","19",NULL,"2.34218","48.8548",NULL,"871"
"3923","3",NULL,"2.36106","48.8598",NULL,"122"
"3924","6",NULL,"0","0",NULL,"916"
"3925","6",NULL,"2.35275","48.8599",NULL,"123"
"3926","5",NULL,"0","0","À Sablonville","917"
"3927","64",NULL,"2.33495","48.8796",NULL,"199"
"3928","99",NULL,"2.37837","48.8569",NULL,"124"
"3929","80",NULL,"2.37837","48.8569",NULL,"124"
"3930","35",NULL,"2.37837","48.8569",NULL,"124"
"3931","99",NULL,"2.37837","48.8569",NULL,"124"
"3932","99",NULL,"2.37837","48.8569",NULL,"124"
"3933","91",NULL,"2.37837","48.8569",NULL,"124"
"3934","92",NULL,"2.37837","48.8569",NULL,"124"
"3935","37",NULL,"2.37837","48.8569",NULL,"124"
"3936","11",NULL,"2.35367","48.8569",NULL,"918"
"3937","11",NULL,"2.35367","48.8569",NULL,"918"
"3938","3",NULL,"2.35367","48.8569",NULL,"918"
"3939","11",NULL,"2.35367","48.8569",NULL,"918"
"3940","42",NULL,"0","0",NULL,"919"
"3941","7",NULL,"2.33085","48.8423",NULL,"103"
"3942","23",NULL,"2.34245","48.8794",NULL,"129"
"3943","10",NULL,"2.3395","48.8517","Rue Monsieur-le-prince 7","523"
"3944","22",NULL,"2.34245","48.8794",NULL,"129"
"3945","38",NULL,"2.34245","48.8794",NULL,"129"
"3946","42",NULL,"2.34842","48.8575",NULL,"921"
"3947","51",NULL,"2.3536","48.8577",NULL,"130"
"3948","66",NULL,"2.32358","48.8479",NULL,"388"
"3949","38",NULL,"2.3536","48.8577",NULL,"130"
"3950","50",NULL,"2.3536","48.8577",NULL,"130"
"3951","50",NULL,"2.3536","48.8577",NULL,"130"
"3952","51",NULL,"2.3536","48.8577",NULL,"130"
"3953","51",NULL,"2.3536","48.8577",NULL,"130"
"3954","51",NULL,"2.3536","48.8577",NULL,"130"
"3955","51",NULL,"2.3536","48.8577",NULL,"130"
"3956","51",NULL,"2.3536","48.8577",NULL,"130"
"3957","21",NULL,"2.34561","48.8534",NULL,"875"
"3958","51",NULL,"2.3536","48.8577",NULL,"130"
"3959","1",NULL,"2.33521","48.8752",NULL,"131"
"3960","12",NULL,"2.33521","48.8752",NULL,"131"
"3961","29",NULL,"2.34233","48.8464",NULL,"922"
"3962","73",NULL,"2.33521","48.8752",NULL,"131"
"3963","66",NULL,"2.33521","48.8752",NULL,"131"
"3964","12",NULL,"2.33521","48.8752",NULL,"131"
"3965","20",NULL,"2.33521","48.8752",NULL,"131"
"3966","90",NULL,"2.33521","48.8752",NULL,"131"
"3967","10",NULL,"2.32088","48.8713",NULL,"136"
"3968","6",NULL,"2.32088","48.8713",NULL,"136"
"3969","40",NULL,"2.3173","48.8755",NULL,"149"
"3970","40",NULL,"2.3173","48.8755",NULL,"149"
"3971","3",NULL,"2.33997","48.8545",NULL,"923"
"3972","39",NULL,"2.37297","48.8536",NULL,"201"
"3973","19",NULL,"2.37297","48.8536",NULL,"201"
"3974","39",NULL,"2.37297","48.8536",NULL,"201"
"3975","14",NULL,"2.33884","48.8807",NULL,"202"
"3976","23",NULL,"2.33884","48.8807",NULL,"202"
"3977","10",NULL,"2.32555","48.8839","In Batignolles","924"
"3978","12",NULL,"0","0",NULL,"925"
"3979","7",NULL,"2.36697","48.8531",NULL,"204"
"3980","19",NULL,"2.36697","48.8531",NULL,"204"
"3981","9",NULL,"2.36697","48.8531",NULL,"204"
"3982","79",NULL,"2.32618","48.8596",NULL,"205"
"3983","19",NULL,"2.32618","48.8596",NULL,"205"
"3984","94",NULL,"2.32618","48.8596",NULL,"205"
"3985","4",NULL,"2.36325","48.8616",NULL,"209"
"3986","17",NULL,"2.32773","48.8776",NULL,"210"
"3987","6",NULL,"2.28221","48.8659",NULL,"926"
"3988","2",NULL,"2.33712","48.8683",NULL,"212"
"3989","24",NULL,"2.32704","48.8686",NULL,"213"
"3990","41",NULL,"2.32704","48.8686",NULL,"213"
"3991","20",NULL,"2.37079","48.8493",NULL,"214"
"3992","23",NULL,"2.37079","48.8493",NULL,"214"
"3993","24",NULL,"2.30103","48.8813",NULL,"927"
"3994","3",NULL,"2.33754","48.8711",NULL,"216"
"3995","20",NULL,"2.34264","48.8494",NULL,"928"
"3996","9",NULL,"2.35161","48.8706",NULL,"219"
"3997","34",NULL,"2.34444","48.8522",NULL,"110"
